row1,row2
1.792,31.12792969
1.834666667,31.12792969
1.877333333,0
1.92,0
1.962666667,0
2.005333333,0
2.048,0
2.090666667,0
2.133333333,0
2.176,0
2.218666667,0
2.261333333,0
2.304,0
2.346666667,0
2.389333333,0
2.432,0
2.474666667,0
2.517333333,0
2.56,2.563476563
2.602666667,2.563476563
2.645333333,2.563476563
2.688,2.563476563
2.730666667,2.563476563
2.773333333,2.563476563
2.816,2.563476563
2.858666667,2.563476563
2.901333333,2.563476563
2.944,2.563476563
2.986666667,2.563476563
3.029333333,2.563476563
3.072,2.563476563
3.114666667,2.563476563
3.157333333,2.563476563
3.2,2.563476563
3.242666667,2.563476563
3.285333333,2.197265625
3.328,2.197265625
3.370666667,2.197265625
3.413333333,2.197265625
3.456,2.197265625
3.498666667,2.197265625
3.541333333,2.197265625
3.584,2.197265625
3.626666667,2.197265625
3.669333333,2.197265625
3.712,2.197265625
3.754666667,2.197265625
3.797333333,2.197265625
3.84,2.197265625
3.882666667,2.197265625
3.925333333,2.197265625
3.968,2.197265625
4.010666667,2.197265625
4.053333333,2.197265625
4.096,2.197265625
4.138666667,2.197265625
4.181333333,2.197265625
4.224,2.197265625
4.266666667,2.197265625
4.309333333,2.197265625
4.352,2.197265625
4.394666667,2.197265625
4.437333333,2.197265625
4.48,31.12792969
4.522666667,31.12792969
4.565333333,31.12792969
4.608,31.12792969
4.650666667,31.12792969
4.693333333,31.12792969
4.736,30.76171875
4.778666667,30.76171875
4.821333333,30.76171875
4.864,30.39550781
4.906666667,30.39550781
4.949333333,30.39550781
4.992,30.02929688
5.034666667,30.02929688
5.077333333,30.02929688
5.12,29.66308594
5.162666667,31.12792969
5.205333333,31.12792969
5.248,31.12792969
5.290666667,31.12792969
5.333333333,31.12792969
5.376,31.12792969
5.418666667,31.12792969
5.461333333,30.76171875
5.504,30.76171875
5.546666667,30.76171875
5.589333333,30.76171875
5.632,30.39550781
5.674666667,30.39550781
5.717333333,30.39550781
5.76,30.02929688
5.802666667,30.02929688
5.845333333,30.02929688
5.888,30.02929688
5.930666667,29.66308594
5.973333333,29.66308594
6.016,29.66308594
6.058666667,29.296875
6.101333333,29.296875
6.144,29.296875
6.186666667,29.296875
6.229333333,28.93066406
6.272,28.93066406
6.314666667,28.93066406
6.357333333,28.93066406
6.4,28.56445313
6.442666667,28.56445313
6.485333333,28.56445313
6.528,28.19824219
6.570666667,28.19824219
6.613333333,28.19824219
6.656,28.19824219
6.698666667,27.83203125
6.741333333,27.83203125
6.784,27.83203125
6.826666667,27.83203125
6.869333333,27.46582031
6.912,27.46582031
6.954666667,27.46582031
6.997333333,27.46582031
7.04,27.09960938
7.082666667,27.09960938
7.125333333,27.09960938
7.168,27.09960938
7.210666667,27.09960938
7.253333333,26.73339844
7.296,26.73339844
7.338666667,26.73339844
7.381333333,26.73339844
7.424,26.3671875
7.466666667,26.3671875
7.509333333,26.3671875
7.552,26.3671875
7.594666667,26.3671875
7.637333333,26.00097656
7.68,26.00097656
7.722666667,26.00097656
7.765333333,26.00097656
7.808,25.63476563
7.850666667,25.63476563
7.893333333,25.63476563
7.936,25.63476563
7.978666667,25.63476563
8.021333333,25.26855469
8.064,25.26855469
8.106666667,25.26855469
8.149333333,25.26855469
8.192,25.26855469
8.234666667,24.90234375
8.277333333,24.90234375
8.32,24.90234375
8.362666667,24.90234375
8.405333333,24.90234375
8.448,24.53613281
8.490666667,24.53613281
8.533333333,24.53613281
8.576,24.53613281
8.618666667,24.53613281
8.661333333,24.16992188
8.704,24.16992188
8.746666667,24.16992188
8.789333333,24.16992188
8.832,24.16992188
8.874666667,23.80371094
8.917333333,23.80371094
8.96,23.80371094
9.002666667,23.80371094
9.045333333,23.80371094
9.088,23.4375
9.130666667,23.4375
9.173333333,23.4375
9.216,23.4375
9.258666667,23.4375
9.301333333,23.4375
9.344,23.07128906
9.386666667,23.07128906
9.429333333,23.07128906
9.472,23.07128906
9.514666667,23.07128906
9.557333333,23.07128906
9.6,22.70507813
9.642666667,22.70507813
9.685333333,22.70507813
9.728,22.70507813
9.770666667,22.70507813
9.813333333,22.33886719
9.856,22.33886719
9.898666667,22.33886719
9.941333333,22.33886719
9.984,22.33886719
10.02666667,22.33886719
10.06933333,21.97265625
10.112,21.97265625
10.15466667,21.97265625
10.19733333,21.97265625
10.24,21.97265625
10.28266667,21.97265625
10.32533333,21.60644531
10.368,21.60644531
10.41066667,21.60644531
10.45333333,21.60644531
10.496,21.60644531
10.53866667,21.60644531
10.58133333,21.60644531
10.624,21.24023438
10.66666667,21.24023438
10.70933333,21.24023438
10.752,21.24023438
10.79466667,21.24023438
10.83733333,21.24023438
10.88,21.24023438
